10001	200601	527391.92	71180.67	415546.07	5612.10	35053.08
10002	200601	106848.41	29782.92	69464.76	1112.65	6488.08
10003	200601	216499.65	56302.07	141604.72	3068.62	15524.25
10017	200601	176539.98	28646.61	142616.44	1711.82	3565.11
10035	200601	50995.68	21640.36	26313.47	1402.91	1638.94
10004	200601	157439.23	35669.85	108510.98	2628.83	10629.57
10018	200601	81980.57	16216.08	61990.28	1061.07	2713.14
10019	200601	145239.86	22776.77	113968.50	3071.56	5423.03
10006	200601	447606.18	158850.32	257346.33	6794.40	24615.13
10007	200601	602208.82	129801.08	430208.32	11030.02	31169.40
10008	200601	284662.82	98421.78	168106.15	6261.16	11873.73
10020	200601	190164.51	36899.53	145612.77	2154.19	5498.02
10010	200601	126899.23	43581.01	72470.53	2644.21	8203.47
10021	200601	84284.84	20965.19	57501.48	2268.07	3550.10
10012	200601	289523.23	68860.44	200222.74	5172.83	15267.22
10022	200601	223594.37	42531.36	160625.51	4257.50	16180.01
10023	200601	164089.77	46619.94	107353.22	2219.08	7897.53
10024	200601	120780.39	35177.10	76473.10	3260.24	5869.95
10014	200601	415475.35	136138.87	234333.52	15267.26	29735.70
10036	200601	94526.57	31465.52	58717.24	2020.08	2323.73
10016	200601	15776.52	9389.48	5405.21	300.30	681.52
10025	200601	76058.67	19494.96	49173.26	2883.83	4506.62
10026	200601	220194.19	55580.43	142505.87	5929.15	16178.74
10027	200601	42483.84	20884.31	17773.01	2502.88	1323.64
10028	200601	80666.49	35157.60	36263.88	4644.82	4600.19
10029	200601	2238.61	2091.95	0.00	146.66	0.00
10030	200601	110492.13	25136.51	78176.71	3051.22	4127.69
10031	200601	50656.39	13305.59	34566.30	686.77	2097.73
10032	200601	6857.22	3807.31	2407.73	195.07	447.10
10033	200601	14496.89	7003.19	5322.11	415.00	1756.59
10034	200601	78432.36	17784.90	52810.64	1995.41	5841.41
10015	200601	167720.98	64509.58	90839.79	4512.11	7859.50
10005	200601	49539.77	18375.65	26444.03	768.70	3951.39
10009	200601	60716.80	29726.15	27266.86	1267.51	2456.28
10013	200601	52131.34	24448.77	21645.19	1196.96	4840.42
10011	200601	27699.60	12708.37	11770.13	776.35	2444.75
10000	200601	21158.49	21021.32	14.02	52.77	70.38
